State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,State Name_x,County Name_x,Avg Concentration,Max Concentration,90th Percentile Conc,Median Concentration,10th Percentile Conc,State Name_y,County Name_y,New Avg Concentration,New Max Concentration,New 90th Percentile Conc,New Median Concentration,New 10th Percentile Conc
Arizona,Pinal,2021.0,365.0,72.0,240.0,49.0,4.0,0.0,0.0,198.0,108.0,70.0,0.0,0.0,135.0,48.0,182.0,Arizona,Pinal,71.67547334911242,7265.0,87.88725443786983,68.08194082840237,42.24441614906832,Arizona,Pinal,71.67547334911242,7265.0,87.88725443786983,68.08194082840237,42.24441614906832
Arizona,Santa Cruz,2021.0,360.0,169.0,189.0,1.0,1.0,0.0,0.0,171.0,71.0,52.0,0.0,0.0,0.0,295.0,65.0,Arizona,Santa Cruz,5.196383169230769,592.0,9.412111076923075,4.2727284615384615,1.8717815384615384,Arizona,Santa Cruz,5.196383169230769,592.0,9.412111076923075,4.2727284615384615,1.8717815384615386
Arizona,Yavapai,2021.0,331.0,302.0,29.0,0.0,0.0,0.0,0.0,64.0,50.0,44.0,0.0,0.0,331.0,0.0,0.0,Arizona,Yavapai,0.60119868,14.554,0.8451394000000001,0.5930968,0.4103329999999999,Arizona,Yavapai,0.60119868,14.554,0.8451394000000001,0.5930968,0.41033299999999995
Arizona,Yuma,2021.0,365.0,186.0,173.0,5.0,1.0,0.0,0.0,170.0,71.0,50.0,0.0,0.0,174.0,146.0,45.0,Arizona,Yuma,10.93002,2205.0,17.309466666666665,9.292,5.1294,Arizona,Yuma,10.93002,2205.0,17.309466666666665,9.292,5.1294
Arkansas,Arkansas,2021.0,120.0,89.0,31.0,0.0,0.0,0.0,0.0,76.0,57.0,39.0,0.0,0.0,0.0,120.0,0.0,Arkansas,Arkansas,295.000964173913,1440.0,298.9086956521739,294.7913043478261,248.86666666666667,Arkansas,Arkansas,295.000964173913,1440.0,298.9086956521739,294.7913043478261,248.86666666666667
Arkansas,Ashley,2021.0,120.0,82.0,38.0,0.0,0.0,0.0,0.0,66.0,59.0,42.0,0.0,0.0,0.0,120.0,0.0,Arkansas,Ashley,295.4049100652174,1440.0,299.2173913043478,295.6282608695652,250.5888888888889,Arkansas,Ashley,295.4049100652174,1440.0,299.2173913043478,295.6282608695652,250.5888888888889
Arkansas,Clark,2021.0,338.0,328.0,10.0,0.0,0.0,0.0,0.0,90.0,45.0,32.0,0.0,0.0,338.0,0.0,0.0,Arkansas,Clark,0.03934425,0.076,0.05225,0.04025,0.032,Arkansas,Clark,0.03934425,0.076,0.05225,0.04025,0.032
Arkansas,Crittenden,2021.0,365.0,222.0,139.0,4.0,0.0,0.0,0.0,122.0,63.0,45.0,0.0,2.0,98.0,265.0,0.0,Arkansas,Crittenden,185.4547743783784,1440.0,189.63302702702703,184.5451081081081,140.81662500000002,Arkansas,Crittenden,185.45477437837837,1440.0,189.63302702702703,184.5451081081081,140.81662500000002
Arkansas,Garland,2021.0,120.0,71.0,49.0,0.0,0.0,0.0,0.0,80.0,60.0,45.0,0.0,0.0,0.0,120.0,0.0,Arkansas,Garland,294.4928133623188,1440.0,299.42753623188406,294.4130434782609,249.1259259259259,Arkansas,Garland,294.4928133623188,1440.0,299.42753623188406,294.4130434782609,249.1259259259259
Arkansas,Jackson,2021.0,120.0,80.0,40.0,0.0,0.0,0.0,0.0,86.0,60.0,39.0,0.0,0.0,0.0,120.0,0.0,Arkansas,Jackson,294.9684782826087,1440.0,299.5,295.03043478260867,249.8,Arkansas,Jackson,294.9684782826087,1440.0,299.5,295.03043478260867,249.79999999999998
Arkansas,Newton,2021.0,365.0,340.0,25.0,0.0,0.0,0.0,0.0,74.0,48.0,37.0,0.0,0.0,330.0,35.0,0.0,Arkansas,Newton,0.5879599799999999,22.616,1.0288366,0.5090894,0.209493,Arkansas,Newton,0.5879599799999999,22.616,1.0288366,0.5090894,0.209493
Arkansas,Polk,2021.0,360.0,299.0,61.0,0.0,0.0,0.0,0.0,93.0,56.0,40.0,0.0,0.0,293.0,67.0,0.0,Arkansas,Polk,92.3928808219178,1440.0,93.94450684931506,92.15333684931508,65.31788470588235,Arkansas,Polk,92.39288082191781,1440.0,93.94450684931506,92.15333684931507,65.31788470588235
Arkansas,Pulaski,2021.0,365.0,114.0,249.0,2.0,0.0,0.0,0.0,112.0,73.0,54.0,0.0,2.0,36.0,327.0,0.0,Arkansas,Pulaski,103.12055663803682,1440.0,108.0939355214724,102.7832105828221,78.75391177536231,Arkansas,Pulaski,103.12055663803682,1440.0,108.09393552147239,102.7832105828221,78.75391177536231
Arkansas,Union,2021.0,116.0,66.0,50.0,0.0,0.0,0.0,0.0,74.0,60.0,48.0,0.0,0.0,0.0,116.0,0.0,Arkansas,Union,295.7580576304348,1440.0,300.5173913043478,296.22391304347826,250.7611111111111,Arkansas,Union,295.7580576304348,1440.0,300.5173913043478,296.22391304347826,250.7611111111111
Arkansas,Washington,2021.0,365.0,206.0,158.0,1.0,0.0,0.0,0.0,119.0,66.0,48.0,0.0,0.0,101.0,264.0,0.0,Arkansas,Washington,197.8852218235294,1440.0,201.13626470588235,197.4748529411765,152.90972413793105,Arkansas,Washington,197.8852218235294,1440.0,201.13626470588235,197.47485294117647,152.90972413793105
California,Alameda,2021.0,365.0,155.0,200.0,9.0,1.0,0.0,0.0,151.0,71.0,53.0,0.0,3.0,99.0,263.0,0.0,California,Alameda,4.236464385159011,169.5,8.288272084805655,3.3970035335689044,1.3829257950530036,California,Alameda,4.236464385159011,169.5,8.288272084805655,3.3970035335689044,1.3829257950530036
California,Amador,2021.0,365.0,307.0,54.0,4.0,0.0,0.0,0.0,133.0,67.0,37.0,0.0,0.0,365.0,0.0,0.0,California,Amador,38.73628658064517,360.0,63.849870967741936,37.24077419354838,20.090258064516128,California,Amador,38.736286580645164,360.0,63.849870967741936,37.24077419354838,20.090258064516128
California,Butte,2021.0,365.0,160.0,174.0,18.0,10.0,3.0,0.0,257.0,90.0,53.0,0.0,0.0,177.0,185.0,3.0,California,Butte,49.96409081547619,762.0,56.35386517857143,48.89400886904762,32.486984596273295,California,Butte,49.96409081547619,762.0,56.35386517857143,48.89400886904762,32.486984596273295
California,Calaveras,2021.0,364.0,220.0,135.0,6.0,3.0,0.0,0.0,178.0,77.0,46.0,0.0,0.0,216.0,148.0,0.0,California,Calaveras,23.884178136363637,475.0,37.47477272727273,22.480545454545453,11.722818181818182,California,Calaveras,23.884178136363634,475.0,37.47477272727273,22.480545454545453,11.722818181818182
California,Colusa,2021.0,365.0,111.0,238.0,9.0,6.0,1.0,0.0,225.0,76.0,55.0,0.0,0.0,60.0,291.0,14.0,California,Colusa,21.14261809375,523.0,37.218875,17.932624999999998,6.99940625,California,Colusa,21.14261809375,523.0,37.218875,17.932624999999998,6.99940625
California,Contra Costa,2021.0,365.0,195.0,165.0,5.0,0.0,0.0,0.0,150.0,69.0,47.0,0.0,0.0,139.0,226.0,0.0,California,Contra Costa,11.73401958984375,768.0,14.19291015625,11.16905859375,6.994892857142857,California,Contra Costa,11.73401958984375,768.0,14.19291015625,11.16905859375,6.994892857142857
California,Del Norte,2021.0,323.0,259.0,64.0,0.0,0.0,0.0,0.0,72.0,54.0,31.0,0.0,0.0,0.0,323.0,0.0,California,Del Norte,1.6559494814814817,133.0,3.461531111111111,1.251881111111111,0.1357762264150943,California,Del Norte,1.6559494814814815,133.0,3.461531111111111,1.251881111111111,0.13577622641509435
California,El Dorado,2021.0,365.0,247.0,96.0,16.0,4.0,1.0,1.0,375.0,93.0,43.0,0.0,0.0,349.0,9.0,7.0,California,El Dorado,13.978150345454546,985.0,22.458990181818184,12.849416787878788,6.760703788819876,California,El Dorado,13.978150345454546,985.0,22.458990181818184,12.849416787878788,6.760703788819876
California,Fresno,2021.0,365.0,62.0,221.0,63.0,17.0,2.0,0.0,278.0,130.0,68.0,0.0,0.0,146.0,209.0,10.0,California,Fresno,59.66250789925926,9060.0,68.31852185185186,59.9720128,44.471010722135006,California,Fresno,59.66250789925926,9060.0,68.31852185185186,59.972012799999995,44.471010722135006
California,Glenn,2021.0,365.0,244.0,106.0,9.0,6.0,0.0,0.0,192.0,65.0,42.0,0.0,0.0,183.0,172.0,10.0,California,Glenn,32.421028066666665,985.0,54.574333333333335,27.97093333333333,12.0198,California,Glenn,32.421028066666665,985.0,54.574333333333335,27.970933333333335,12.0198
California,Humboldt,2021.0,365.0,333.0,32.0,0.0,0.0,0.0,0.0,64.0,48.0,29.0,12.0,0.0,219.0,78.0,56.0,California,Humboldt,30.066371354838708,773.0,34.47590322580645,28.59403225806452,26.26553333333333,California,Humboldt,30.066371354838708,773.0,34.47590322580645,28.594032258064516,26.265533333333334
California,Imperial,2021.0,365.0,84.0,252.0,22.0,4.0,1.0,2.0,436.0,97.0,60.0,0.0,0.0,134.0,126.0,105.0,California,Imperial,39.01686503548388,3827.0,49.77298032258064,37.22310970967742,21.80021792079208,California,Imperial,39.016865035483875,3827.0,49.77298032258064,37.22310970967742,21.80021792079208
California,Inyo,2021.0,365.0,100.0,222.0,25.0,12.0,3.0,3.0,558.0,115.0,61.0,0.0,0.0,152.0,185.0,28.0,California,Inyo,67.78147360103627,10083.0,86.29332136010363,64.94312244818653,43.29477577896139,California,Inyo,67.78147360103627,10083.0,86.29332136010363,64.94312244818653,43.29477577896139
California,Kern,2021.0,365.0,35.0,202.0,97.0,29.0,1.0,1.0,314.0,147.0,84.0,0.0,0.0,151.0,199.0,15.0,California,Kern,64.22877635524921,1931.0,75.32192030752917,63.97045609756097,46.13510219146482,California,Kern,64.22877635524921,1931.0,75.32192030752917,63.97045609756097,46.135102191464824
California,Kings,2021.0,365.0,84.0,230.0,40.0,10.0,0.0,1.0,685.0,109.0,64.0,0.0,0.0,119.0,168.0,78.0,California,Kings,60.82960684337349,3831.0,93.10859036144578,60.07038554216867,27.252903614457832,California,Kings,60.82960684337349,3831.0,93.10859036144578,60.07038554216867,27.252903614457832
California,Lake,2021.0,356.0,348.0,7.0,0.0,1.0,0.0,0.0,157.0,43.0,33.0,0.0,0.0,335.0,19.0,2.0,California,Lake,88.09450365243903,1440.0,103.16753780487804,85.96733536585366,55.70825657894737,California,Lake,88.09450365243903,1440.0,103.16753780487805,85.96733536585366,55.70825657894737
